Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,SigNum,MetaES
,80,0.149,0.169,0.018,0.001,Lt_CONa_Temp-Rt_SVNa_PrCv,0.148827674,0.16938766,-0.017915292,0,0.098900016
,81,0.186,0.080,0.159,0.001,Lt_CONa_Temp-Rt_SVNa_Ins,0.186060884,0.079580111,-0.159325088,0,0.034469138
,82,0.296,0.095,0.161,0.001,Lt_CONa_Temp-Rt_SVNa_ParMed,0.295987064,0.094963406,-0.160867721,0,0.075773895
,83,0.005,0.164,0.087,0.001,Lt_CONa_Temp-Rt_SVNa_FrMed,0.004598834,0.163980583,-0.086813938,0,0.027154457
,84,0.264,0.292,0.169,0.001,Lt_CONa_Temp-Rt_SVNb_IPL,0.264397393,0.291998823,0.168725613,0,0.240040017
,85,0.133,0.216,0.019,0.001,Lt_CONa_Temp-Rt_SVNb_PFCd,0.133358202,0.215722253,0.019135918,0,0.122617196
,86,0.042,0.265,0.072,0.001,Lt_CONa_Temp-Rt_SVNb_PFCl,0.041585393,0.264533134,0.072168323,0,0.127667885
,87,0.299,0.015,0.009,0.001,Lt_CONa_Temp-Rt_SVNb_PFClv,0.299161005,-0.014677158,0.009212764,0,0.097317378
,88,0.043,0.121,0.090,0.001,Lt_CONa_Temp-Rt_SVNb_PFCv,0.04335377,0.120703703,-0.09016103,0,0.024534978
,89,0.098,0.298,0.133,0.001,Lt_CONa_Temp-Rt_SVNb_PFCmp,0.097828487,0.297999254,0.133479309,0,0.176678457
,90,0.182,0.200,0.104,0.001,Lt_CONa_Temp-Rt_SVNb_Cinga,0.181833661,0.200325795,0.103995206,0,0.161185236
,91,0.038,0.055,0.061,0.001,Lt_CONa_Temp-Lt_SMNa,0.037643932,0.055440461,-0.060846893,0,0.008147242
,92,0.050,0.120,0.133,0.001,Lt_CONa_Temp-Lt_SMNb_Cent,0.049581728,0.119683585,0.133173204,0,0.10308119
,93,0.108,0.057,0.169,0.001,Lt_CONa_Temp-Lt_SMNb_S2,-0.108455483,-0.057264516,-0.169419809,0,-0.113232651
,94,0.125,0.204,0.079,0.001,Lt_CONa_Temp-Lt_SMNb_Ins,-0.124765312,-0.204167621,-0.078638313,0,-0.135875665
,95,0.272,0.029,0.244,0.001,Lt_CONa_Temp-Lt_SMNb_Aud,0.272310063,0.029378797,-0.243801064,0,0.018672404
,96,0.072,0.076,0.024,0.001,Lt_CONa_Temp-Rt_SMNa,0.071613938,0.075855955,-0.024188602,0,0.038404975
,97,0.015,0.046,0.111,0.001,Lt_CONa_Temp-Rt_SMNb_Cent,0.014539296,0.045732177,0.111402607,0,0.059961926
,98,0.093,0.069,0.205,0.001,Lt_CONa_Temp-Rt_SMNb_S2,-0.092851418,-0.069352485,-0.204732496,0,-0.123989165
,99,0.196,0.441,0.192,0.001,Lt_CONa_Temp-Rt_SMNb_Ins,-0.196213905,-0.441049598,-0.192446163,0,-0.277142625
,100,0.034,0.107,0.338,0.001,Lt_CONa_Temp-Rt_SMNb_Aud,0.033704705,-0.107421414,-0.337944895,0,-0.13826252
,101,0.115,0.036,0.121,0.001,Lt_CONa_Temp-Lt_SMN_TempPar,0.114972486,-0.036323574,-0.120913373,0,-0.014947552
,102,0.175,0.012,0.139,0.001,Lt_CONa_Temp-Rt_SMN_TempPar,0.175246578,0.011632249,-0.139413332,0,0.014729391
,103,0.015,0.230,0.263,0.001,Lt_CONa_Temp-Lt_VSNc_Striate,-0.015073294,-0.23016659,-0.26336784,0,-0.171016889
,104,0.072,0.015,0.013,0.001,Lt_CONa_Temp-Lt_VSNc_ExStr,0.072198011,0.014974264,0.012643021,0,0.027852502
,105,0.209,0.049,0.082,0.001,Lt_CONa_Temp-Lt_VSNp_Striate,0.209407666,0.048794265,-0.081603771,0,0.05760223
,106,0.134,0.061,0.052,0.001,Lt_CONa_Temp-Lt_VSNp_ExStrInf,-0.134326744,0.061065589,-0.052476015,0,-0.040942913
,107,0.070,0.104,0.019,0.001,Lt_CONa_Temp-Lt_VSNp_ExStrSup,-0.069889284,0.103627818,-0.019381744,0,0.006426015
,108,0.089,0.113,0.107,0.001,Lt_CONa_Temp-Rt_VSNc_Striate,0.088846537,-0.113305826,-0.107141898,0,-0.044966955
,109,0.164,0.094,0.041,0.001,Lt_CONa_Temp-Rt_VSNc_ExStr,-0.164191825,-0.094370767,-0.041345689,0,-0.097513145
,110,0.179,0.071,0.143,0.001,Lt_CONa_Temp-Rt_VSNp_Striate,0.179123943,-0.071480694,-0.142696638,0,-0.012731044
,111,0.083,0.016,0.047,0.001,Lt_CONa_Temp-Rt_VSNp_ExStrInf,0.082650367,0.016090868,0.047015166,0,0.044951238
,112,0.138,0.101,0.037,0.001,Lt_CONa_Temp-Rt_VSNp_ExStrSup,-0.13840463,0.101031825,-0.037077925,0,-0.023625682
,113,0.588,0.251,0.346,0.001,Lt_CONa_Temp-Lt-Accm,-0.587648919,-0.250568789,-0.345857389,0,-0.394294881
,114,0.330,0.051,0.057,0.001,Lt_CONa_Temp-Rt-Accm,-0.330290609,-0.051391873,-0.057469331,0,-0.146071265
,115,0.380,0.133,0.053,0.001,Lt_CONa_Temp-Lt-Amyg,0.379967428,-0.132760086,-0.05336074,0,0.064287793
,116,0.195,0.087,0.101,0.001,Lt_CONa_Temp-Rt-Amyg,0.194899498,-0.086802994,-0.100921378,0,0.002385366
,117,0.025,0.005,0.048,0.001,Lt_CONa_Temp-Lt-Caud,0.025380094,0.00522027,-0.047542896,0,-0.008163912
,118,0.164,0.015,0.066,0.001,Lt_CONa_Temp-Rt-Caud,-0.164435936,0.01479244,-0.065504346,0,-0.071413513
,119,0.328,0.012,0.047,0.001,Lt_CONa_Temp-Lt-Hipp,0.328044239,-0.012439824,-0.046594509,0,0.088886978
,120,0.141,0.201,0.151,0.001,Lt_CONa_Temp-Rt-Hipp,0.141380293,-0.201221985,-0.151322244,0,-0.070925938
,121,0.345,0.286,0.085,0.001,Lt_CONa_Temp-Lt-Pall,-0.345324036,-0.285638647,-0.085195202,0,-0.237921624
,122,0.069,0.055,0.100,0.001,Lt_CONa_Temp-Rt-Pall,0.069492752,0.054778357,0.099938951,0,0.076182257
,123,0.183,0.153,0.082,0.001,Lt_CONa_Temp-Lt-Puta,0.183348208,0.15330111,0.082131422,0,0.138264087
,124,0.052,0.098,0.011,0.001,Lt_CONa_Temp-Rt-Puta,0.0524203,-0.097847489,0.011007422,0,-0.012383062
,125,0.185,0.180,0.046,0.001,Lt_CONa_Temp-Lt-Thal,0.185011537,0.179680656,0.045634162,0,0.135713545
